id_entrega,id_orden,id_conductor,fecha_entrega,estado_entrega,firma_cliente,evidencia,observaciones
d0b13739-8632-447b-9068-f5d00f657d27,c22c541e-35ec-4380-8182-633292a90e3a,8cd7e276-e94d-4632-855a-99f77a69e8b3,2024-03-29 06:12:39,fallida,https://bucket-grupo-5.s3.amazonaws.com/firmas/g%7B5%7De%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/7%7B5%7Dz%7B5%7D,Producto avícola con temperatura elevada
383169f9-586d-4b50-85e2-fcbd3a74ae15,ca2d797a-c281-46c7-89e9-a080f16c53b2,365b7153-13c0-497a-9023-b8f0f9519ef9,2025-06-26 21:52:53,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/h%7B5%7Di%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/s%7B5%7Dn%7B5%7D,Producto con daño visible en empaque
a40a9830-b9ef-417c-b6c7-a8f1d182103e,8e3fb3a6-7381-4b22-a0c0-cdceb17d2d0d,70947b21-f111-4041-9e6b-c53d86aade30,2025-09-15 03:27:46,con_reclamo,https://bucket-grupo-5.s3.amazonaws.com/firmas/8%7B5%7Db%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/s%7B5%7D2%7B5%7D,Cliente no estaba en la dirección
b1fe3529-bb1f-4101-b249-561c10a70361,c22c541e-35ec-4380-8182-633292a90e3a,70b16fb7-e8bd-48c1-a285-0be2d1d2cc3e,2025-08-10 10:51:03,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/h%7B5%7Dv%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/2%7B5%7Dk%7B5%7D,Horario no conveniente para el cliente
728e7f2a-15a7-4672-8b6f-b8516237b00a,64ba97b5-4829-487f-b8cc-a8243dd3960b,365b7153-13c0-497a-9023-b8f0f9519ef9,2024-07-09 23:11:25,completada,https://bucket-grupo-5.s3.amazonaws.com/firmas/9%7B5%7D2%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/6%7B5%7Dv%7B5%7D,Entrega exitosa
676e250c-2ac9-4e9b-9a2f-e6817b2299f3,ca2d797a-c281-46c7-89e9-a080f16c53b2,fb7f6b95-edf9-4814-9400-cb894e8a97bc,2024-02-27 21:29:06,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/l%7B5%7Db%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/h%7B5%7Dq%7B5%7D,Rechazo por calidad
dbda9d88-1dae-40ae-b406-3e01a629d1c7,c22c541e-35ec-4380-8182-633292a90e3a,9e6f1070-fc9f-4feb-9519-d02da0c7cabd,2025-12-16 04:38:04,fallida,https://bucket-grupo-5.s3.amazonaws.com/firmas/a%7B5%7Dm%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/x%7B5%7De%7B5%7D,Cliente no estaba en la dirección
2133c5f6-56d5-46c3-b3e2-08c127c291ae,867f7cb6-d67c-41f9-984e-85bca40f4f96,e8686ff5-d205-474e-9638-41a1d4897ffa,2024-01-24 00:20:16,completada,https://bucket-grupo-5.s3.amazonaws.com/firmas/w%7B5%7D1%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/2%7B5%7Dr%7B5%7D,Entrega parcial
229f235f-43f7-4b4f-b637-5b02050e93c6,ca2d797a-c281-46c7-89e9-a080f16c53b2,70b16fb7-e8bd-48c1-a285-0be2d1d2cc3e,2025-06-07 01:50:17,fallida,https://bucket-grupo-5.s3.amazonaws.com/firmas/e%7B5%7Dv%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/x%7B5%7D3%7B5%7D,Producto avícola con temperatura elevada
1be0ed09-6b9e-4c87-9af5-645aaf88575c,c22c541e-35ec-4380-8182-633292a90e3a,365b7153-13c0-497a-9023-b8f0f9519ef9,2024-06-09 21:30:32,fallida,https://bucket-grupo-5.s3.amazonaws.com/firmas/l%7B5%7Dv%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/q%7B5%7Dt%7B5%7D,Cliente no estaba en la dirección
