id_entrega,id_despacho,id_usuario,fecha_entrega,estado_entrega,firma_cliente,evidencia,observaciones,punto_entrega,fecha_creacion,fecha_actualizacion
16ee8a7e-904b-4e52-aee5-5226c411c0a9,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,2024-05-29 12:01:51,completada,https://bucket-grupo-5.s3.amazonaws.com/firmas/f%7B5%7D4%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/z%7B5%7D1%7B5%7D,Problemas con el transporte asignado,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,2024-05-29 12:01:51,2024-05-29 12:01:51
be5679ad-de37-4abe-af47-a3f88417a34a,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,2024-09-06 14:44:06,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/h%7B5%7D2%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/e%7B5%7D9%7B5%7D,Recepción por parte del conserje,b2c3d4e5-f6a7-5b6c-9d8e-0f1a2b3c4d5e,2024-09-06 14:44:06,2024-09-06 14:44:06
9789eca8-6458-463c-8ffb-8115f0793a07,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,2024-08-29 12:06:17,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/c%7B5%7D6%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/b%7B5%7D2%7B5%7D,Cliente no tenía efectivo para pago contra entrega,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,2024-08-29 12:06:17,2024-08-29 12:06:17
7763854d-86de-4e90-a5f2-6d4cbd30cad0,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,2024-01-29 01:41:03,completada,https://bucket-grupo-5.s3.amazonaws.com/firmas/t%7B5%7D7%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/s%7B5%7D4%7B5%7D,Entrega exitosa con firma digital,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,2024-01-29 01:41:03,2024-01-29 01:41:03
5ce78015-ba5a-4f86-9a1a-cf0f8e290aeb,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,2024-05-03 11:03:02,fallida,https://bucket-grupo-5.s3.amazonaws.com/firmas/3%7B5%7D1%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/4%7B5%7D5%7B5%7D,Recepción por parte del conserje,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,2024-05-03 11:03:02,2024-05-03 11:03:02
88085017-66fe-4bbc-b8fb-b142ef062f6e,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,2024-05-01 17:39:09,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/z%7B5%7D7%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/x%7B5%7D6%7B5%7D,Domicilio difícil de ubicar,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,2024-05-01 17:39:09,2024-05-01 17:39:09
2850022f-00b8-4a01-9372-1a72cac83b50,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,2024-02-26 21:06:10,completada,https://bucket-grupo-5.s3.amazonaws.com/firmas/1%7B5%7D3%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/x%7B5%7D2%7B5%7D,Cliente no autorizó la entrega,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,2024-02-26 21:06:10,2024-02-26 21:06:10
4772fdfd-29ad-458a-9992-a211582e6ab3,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,2024-01-26 13:33:00,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/2%7B5%7D6%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/t%7B5%7D1%7B5%7D,Rechazo por calidad del producto,a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,2024-01-26 13:33:00,2024-01-26 13:33:00
adfaca19-f364-4b27-b9b0-9ccf2a7bf8db,e5f6a7b8-c9d0-8e9f-1a2b-3c4d5e6f7a8b,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,2024-08-27 02:44:09,con_reclamo,https://bucket-grupo-5.s3.amazonaws.com/firmas/h%7B5%7D3%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/8%7B5%7D2%7B5%7D,Rechazo por empaque inadecuado,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,2024-08-27 02:44:09,2024-08-27 02:44:09
4a424bc6-8830-43f3-adfb-b263582995cc,b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,2024-11-12 04:00:16,reprogramada,https://bucket-grupo-5.s3.amazonaws.com/firmas/g%7B5%7D9%7B5%7D,https://bucket-grupo-5.s3.amazonaws.com/evidencias/a%7B5%7D4%7B5%7D,Entrega completada satisfactoriamente,f6a7b8c9-d0e1-9f2a-3b4c-5d6e7f8a9b0c,2024-11-12 04:00:16,2024-11-12 04:00:16
