id_solucion_incidencia,id_incidencia,id_usuario,descripcion_solucion,fecha_solucion,costo_solucion,tiempo_resolucion,observaciones
c729af46-a079-4482-9aef-63513263c4fe,2e4016fa-c2fb-47db-b3c0-ff44a8330315,a1b2c3d4-e5f6-4a5b-8c7d-9e0f1a2b3c4d,Revisión y solución aplicada correctamente,2025-05-03T22:26:29.831993,685.11,1:34:00,Sin observaciones adicionales
0e88e0fa-7072-42a3-b1f1-f6f526293de0,587c4281-fe33-48a4-9164-e6ac04c03c7c,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,Revisión y solución aplicada correctamente,2025-04-29T22:26:29.831993,173.46,2:38:00,Sin observaciones adicionales
b8f42cc1-2b72-429e-bf29-a818bda6cd2f,fc976789-1212-4189-abbb-3a38ef2af97d,c3d4e5f6-a7b8-6c7d-0e9f-1a2b3c4d5e6f,Revisión y solución aplicada correctamente,2025-05-04T22:26:29.831993,658.19,4:14:00,Sin observaciones adicionales
fe32e0ab-7f2e-4edb-a29e-b98b7e0b6611,2a9e5c49-92b2-4b1f-9942-86ff41674b97,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,Revisión y solución aplicada correctamente,2025-04-24T22:26:29.831993,860.54,4:28:00,Sin observaciones adicionales
eba22b86-5e1b-4f9b-9e21-c71123bab511,76a1b878-16f1-4ac4-89a2-990021aefbd9,c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,Revisión y solución aplicada correctamente,2025-04-20T22:26:29.831993,235.27,1:51:00,Sin observaciones adicionales
2d87e14c-d839-4141-a63d-dd8597933590,005ec65f-0364-471a-a2f6-cf6b22d7d143,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,Revisión y solución aplicada correctamente,2025-04-23T22:26:29.831993,594.57,0:35:00,Seguimiento necesario
2ca83a34-1756-4dfe-b133-8571763f47c0,fd90b884-543f-49df-9953-f9bd026da854,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,Revisión y solución aplicada correctamente,2025-05-03T22:26:29.831993,678.43,4:15:00,Sin observaciones adicionales
1378a5b6-f47b-4b9c-8ebb-039e0a8ee85b,f8450e4d-10eb-4b8e-948d-aa219ff576ed,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,Revisión y solución aplicada correctamente,2025-04-29T22:26:29.831993,349.57,3:51:00,Sin observaciones adicionales
fccaaab7-61c3-4a76-8c0d-3fa8d8b20a66,90fdaa2a-7136-4b2b-9772-ce25c29db38d,d4e5f6a7-b8c9-7d8e-0f1a-2b3c4d5e6f7a,Revisión y solución aplicada correctamente,2025-04-30T22:26:29.831993,698.05,3:01:00,Seguimiento necesario
5c667a73-3373-4448-a5df-3638d6df2fdd,e69c80aa-05df-4e80-b6e4-5099969b4c8b,d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,Revisión y solución aplicada correctamente,2025-04-21T22:26:29.831993,476.61,4:26:00,Seguimiento necesario
