id_solucion_reclamo,id_reclamo,id_usuario_propuesta,descripcion_solucion,estado,costo_estimado,fecha_propuesta,fecha_resolucion,observaciones
e999d4b1-223f-44e2-9dcc-d027bb3ee4c0,8e8dc698-160e-4f8b-b45e-d703946c0b1b,2bf33038-8eee-4248-97f4-c5b70378b888,Reprogramar entrega para el siguiente día hábil,propuesta,44.82,2024-03-04 17:37:00,,Cliente no se presentó en horario acordado
3169bc63-9847-4aa4-8858-0d915f766bfd,aa7406c3-ddff-4fea-a174-0947bd81a78d,d2d1a0af-21a4-4ff5-8531-95fb09f118db,Reemplazar producto con temperatura fuera de rango,en_proceso,72.35,2024-04-22 16:53:00,,Producto avícola con temperatura elevada
8a420a78-bcdc-41ef-b21a-51525b0f708c,36479810-26fe-473b-b287-5988d2049565,92590658-8023-4923-b1e5-3ba309f96f61,Solicitar confirmación de disponibilidad antes de nueva entrega,en_proceso,6.62,2024-03-17 07:21:00,,Cliente no se presentó en horario acordado
e86793e2-f2f6-4090-8f34-83b0930e61de,857b28ea-6d44-405e-bc83-cd8a9daff2b2,79ec2a5a-4130-42b7-b32a-209287767cea,Ofrecer descuento por productos dañados,en_proceso,53.03,2024-03-30 23:55:00,,20 unidades reemplazadas exitosamente
d17e2dd3-db83-4c62-b144-a746237cdfa6,8dabc67c-3012-4b2c-898a-c4fcae201c06,b2f38119-6012-43c4-b905-ac0c2a7350f9,Solicitar confirmación de disponibilidad antes de nueva entrega,rechazada,0.0,2024-04-13 19:18:00,,Cliente no se presentó en horario acordado
31321198-d45d-4d47-93fd-ebca0f85f532,8dabc67c-3012-4b2c-898a-c4fcae201c06,72e8d5ed-3905-4419-9fda-e47df2a0aeaf,Solicitar confirmación de disponibilidad antes de nueva entrega,implementada,21.63,2024-04-13 19:18:00,2024-04-16 04:18:00,Dirección corregida y entrega completada
31205956-3d39-44e6-a03d-484a95b7798c,ea63b47c-c1a7-44a8-a1e8-f15790f5d02d,b8fb778b-79aa-4755-adfb-ad1b80cb570f,Notificar a proveedor y reponer mercancía afectada,rechazada,0.0,2024-04-01 17:58:00,,30 unidades con temperatura elevada
d2e7b107-7266-433b-ba29-a71fcd31f21a,5368af74-ccff-4ad2-8b7d-bde6c5f95aff,5252e5b4-d995-45e0-9600-faab5d70cf45,Solicitar confirmación de disponibilidad antes de nueva entrega,en_proceso,190.4,2024-04-27 23:45:00,,Cliente no se presentó en horario acordado
3360d128-2e9f-4f8c-b924-633fe5d75099,6dc9478b-ee93-4504-9683-83c3cc19a748,02f95259-a9d5-4f59-9fff-85c9731393b7,Reemplazar producto con temperatura fuera de rango,rechazada,0.0,2024-03-24 06:26:00,,30 unidades con temperatura elevada
834ca64b-8560-46bf-bd09-c58edf7ea07f,b0418827-a25b-4185-97b7-feef9d5efa68,5119fbbf-b2a7-4012-9b10-d53bd374c137,Notificar a proveedor y reponer mercancía afectada,rechazada,0.0,2024-03-24 03:05:00,,30 unidades con temperatura elevada
